Date;MRVE3.SA;TRPL4.SA;PETR4.SA;VIIA3.SA;MGLU3.SA;BBDC4.SA
2011-05-02;R$6.43;R$0.46;R$7.06;R$7.98;R$5.67;R$5.96
2011-05-03;R$6.24;R$0.46;R$6.96;R$7.90;R$5.66;R$5.96
2011-05-04;R$6.24;R$0.46;R$6.62;R$7.85;R$5.65;R$6.08
2011-05-05;R$6.28;R$0.46;R$6.44;R$7.59;R$5.68;R$6.08
2011-05-06;R$6.41;R$0.46;R$6.78;R$7.51;R$5.79;R$6.08
2011-05-09;R$6.45;R$0.45;R$7.01;R$7.52;R$5.79;R$6.08
2011-05-10;R$6.45;R$0.45;R$7.01;R$7.63;R$5.68;R$6.08
2011-05-11;R$6.51;R$0.46;R$7.18;R$7.63;R$5.73;R$6.08
2011-05-12;R$6.52;R$0.46;R$7.48;R$7.70;R$5.72;R$6.08
2011-05-13;R$6.36;R$0.46;R$7.69;R$7.70;R$5.73;R$6.08
2011-05-16;R$6.36;R$0.46;R$7.69;R$7.70;R$5.73;R$6.08
2011-05-17;R$6.34;R$0.45;R$7.57;R$7.70;R$5.79;R$6.08
2011-05-18;R$6.17;R$0.44;R$7.35;R$7.70;R$5.74;R$6.08
2011-05-19;R$6.17;R$0.45;R$6.93;R$7.40;R$5.74;R$5.84
2011-05-20;R$6.17;R$0.45;R$7.22;R$7.51;R$5.70;R$5.84
2011-05-23;R$6.18;R$0.45;R$7.29;R$7.39;R$5.73;R$6.19
2011-05-24;R$6.30;R$0.44;R$7.58;R$7.46;R$5.72;R$6.19
2011-05-25;R$6.24;R$0.43;R$7.69;R$7.48;R$5.79;R$6.19
2011-05-26;R$6.42;R$0.44;R$7.55;R$7.57;R$5.76;R$6.19
2011-05-27;R$6.42;R$0.44;R$7.58;R$7.60;R$5.71;R$6.19
2011-05-30;R$6.38;R$0.45;R$7.51;R$7.54;R$5.75;R$6.19
2011-05-31;R$6.41;R$0.45;R$7.52;R$7.54;R$5.74;R$6.19
2011-06-01;R$6.31;R$0.46;R$7.35;R$7.51;R$5.70;R$5.84
2011-06-02;R$6.35;R$0.46;R$7.58;R$7.50;R$5.75;R$5.84
2011-06-03;R$6.38;R$0.47;R$7.65;R$7.44;R$5.74;R$5.84
2011-06-06;R$6.28;R$0.47;R$7.41;R$7.26;R$5.69;R$5.84
2011-06-07;R$6.40;R$0.47;R$7.60;R$7.20;R$5.69;R$5.84
2011-06-08;R$6.39;R$0.47;R$7.62;R$7.26;R$5.62;R$5.84
2011-06-09;R$6.34;R$0.48;R$7.86;R$7.42;R$5.61;R$5.84
2011-06-10;R$6.25;R$0.48;R$7.73;R$7.42;R$5.57;R$5.84
2011-06-13;R$6.26;R$0.49;R$7.57;R$7.30;R$5.54;R$5.84
2011-06-14;R$6.31;R$0.48;R$7.31;R$7.39;R$5.52;R$5.84
2011-06-15;R$6.36;R$0.48;R$7.25;R$7.29;R$5.56;R$5.84
2011-06-16;R$6.29;R$0.47;R$6.98;R$7.29;R$5.63;R$5.84
2011-06-17;R$6.27;R$0.46;R$7.10;R$7.27;R$5.61;R$5.84
2011-06-20;R$6.29;R$0.46;R$7.12;R$7.23;R$5.60;R$5.84
2011-06-21;R$6.29;R$0.47;R$7.00;R$7.27;R$5.69;R$5.84
2011-06-22;R$6.34;R$0.46;R$6.73;R$7.28;R$5.65;R$5.84
2011-06-24;R$6.29;R$0.46;R$6.87;R$7.16;R$5.68;R$5.84
2011-06-27;R$6.33;R$0.45;R$7.04;R$7.22;R$5.70;R$5.84
2011-06-28;R$6.51;R$0.46;R$7.03;R$7.34;R$5.69;R$5.84
2011-06-29;R$6.56;R$0.46;R$6.87;R$7.32;R$5.71;R$5.61
2011-06-30;R$6.59;R$0.46;R$6.70;R$7.42;R$5.72;R$5.61
2011-07-01;R$6.61;R$0.46;R$7.00;R$7.43;R$5.74;R$5.61
2011-07-04;R$6.71;R$0.46;R$6.96;R$7.45;R$5.70;R$5.61
2011-07-05;R$6.69;R$0.47;R$6.69;R$7.37;R$5.75;R$5.61
2011-07-06;R$6.61;R$0.47;R$6.54;R$7.36;R$5.87;R$5.61
2011-07-07;R$6.51;R$0.46;R$6.33;R$7.39;R$5.60;R$5.61
2011-07-08;R$6.41;R$0.46;R$6.11;R$7.34;R$5.50;R$5.61
2011-07-11;R$6.21;R$0.44;R$5.83;R$7.24;R$5.47;R$5.61
2011-07-12;R$6.08;R$0.45;R$5.78;R$7.24;R$5.39;R$5.61
2011-07-13;R$6.23;R$0.44;R$6.02;R$7.32;R$5.35;R$5.61
2011-07-14;R$6.08;R$0.42;R$5.74;R$7.18;R$5.41;R$5.61
2011-07-15;R$5.98;R$0.41;R$5.80;R$7.19;R$5.41;R$5.61
2011-07-18;R$5.85;R$0.39;R$5.76;R$7.12;R$5.41;R$5.61
2011-07-19;R$5.93;R$0.42;R$5.77;R$7.09;R$5.33;R$5.61
2011-07-20;R$6.00;R$0.40;R$5.77;R$7.00;R$5.21;R$5.61
2011-07-21;R$6.15;R$0.40;R$6.13;R$7.20;R$5.28;R$5.61
2011-07-22;R$6.16;R$0.42;R$6.36;R$7.19;R$5.35;R$5.61
2011-07-25;R$6.12;R$0.41;R$6.38;R$7.54;R$5.35;R$5.61
2011-07-26;R$6.07;R$0.43;R$6.07;R$7.40;R$5.32;R$5.61
2011-07-27;R$6.00;R$0.42;R$6.00;R$7.38;R$5.36;R$5.61
2011-07-28;R$6.11;R$0.40;R$5.89;R$7.35;R$5.40;R$5.61
2011-07-29;R$6.14;R$0.39;R$6.13;R$7.35;R$5.40;R$5.61
2011-08-01;R$6.20;R$0.39;R$5.89;R$7.35;R$5.34;R$5.61
2011-08-02;R$6.00;R$0.39;R$5.68;R$7.35;R$5.38;R$5.61
2011-08-03;R$5.90;R$0.38;R$5.54;R$7.42;R$5.23;R$5.61
2011-08-04;R$5.68;R$0.35;R$5.13;R$7.42;R$5.23;R$5.61
2011-08-05;R$5.77;R$0.33;R$5.31;R$7.42;R$5.22;R$5.61
2011-08-08;R$5.26;R$0.31;R$5.10;R$7.42;R$5.14;R$5.61
2011-08-09;R$5.55;R$0.32;R$5.59;R$7.42;R$5.22;R$5.14
2011-08-10;R$5.47;R$0.32;R$5.70;R$7.42;R$5.20;R$5.14
2011-08-11;R$5.62;R$0.35;R$6.03;R$7.42;R$5.18;R$5.14
2011-08-12;R$5.63;R$0.37;R$5.98;R$7.42;R$5.18;R$5.14
2011-08-15;R$5.72;R$0.38;R$6.13;R$7.42;R$5.19;R$5.14
2011-08-16;R$5.72;R$0.37;R$6.13;R$7.42;R$5.29;R$5.14
2011-08-17;R$5.83;R$0.37;R$6.25;R$6.59;R$5.29;R$5.14
2011-08-18;R$5.60;R$0.37;R$5.84;R$6.41;R$5.32;R$5.14
2011-08-19;R$5.47;R$0.36;R$5.97;R$6.22;R$5.23;R$5.14
2011-08-22;R$5.46;R$0.36;R$6.03;R$6.20;R$5.17;R$5.14
2011-08-23;R$5.54;R$0.36;R$6.22;R$6.37;R$5.23;R$5.14
2011-08-24;R$5.58;R$0.35;R$6.20;R$6.39;R$5.16;R$5.03
2011-08-25;R$5.54;R$0.35;R$5.94;R$6.27;R$5.27;R$4.88
2011-08-26;R$5.53;R$0.34;R$5.99;R$6.28;R$5.26;R$5.12
2011-08-29;R$5.65;R$0.34;R$6.41;R$6.47;R$5.33;R$4.91
2011-08-30;R$5.70;R$0.35;R$6.68;R$6.49;R$5.27;R$4.91
2011-08-31;R$5.86;R$0.36;R$6.93;R$6.57;R$5.37;R$4.91
2011-09-01;R$6.29;R$0.39;R$7.34;R$6.64;R$5.53;R$5.02
2011-09-02;R$6.06;R$0.40;R$6.93;R$6.43;R$5.57;R$5.02
2011-09-05;R$5.85;R$0.40;R$6.62;R$6.32;R$5.51;R$5.02
2011-09-06;R$6.07;R$0.41;R$6.99;R$6.46;R$5.63;R$5.02
2011-09-08;R$6.16;R$0.41;R$7.16;R$6.52;R$5.69;R$5.02
2011-09-09;R$5.97;R$0.41;R$6.66;R$6.36;R$5.59;R$4.91
2011-09-12;R$5.87;R$0.41;R$6.54;R$6.42;R$5.56;R$4.91
2011-09-13;R$5.85;R$0.40;R$6.36;R$6.42;R$5.64;R$4.91
2011-09-14;R$5.92;R$0.39;R$6.35;R$6.48;R$5.65;R$4.67
2011-09-15;R$5.99;R$0.39;R$6.27;R$6.49;R$5.66;R$4.67
2011-09-16;R$6.08;R$0.39;R$6.33;R$6.52;R$5.76;R$4.32
2011-09-19;R$6.05;R$0.39;R$6.12;R$6.57;R$5.78;R$4.32
2011-09-20;R$6.03;R$0.38;R$5.74;R$6.50;R$5.80;R$4.32
2011-09-21;R$6.02;R$0.37;R$5.49;R$6.50;R$5.86;R$4.32
2011-09-22;R$5.78;R$0.34;R$5.17;R$6.16;R$5.65;R$4.33
2011-09-23;R$5.59;R$0.34;R$5.43;R$6.05;R$5.59;R$4.33
2011-09-26;R$5.69;R$0.34;R$5.35;R$6.25;R$5.59;R$4.33
2011-09-27;R$5.81;R$0.35;R$5.32;R$6.17;R$5.66;R$4.33
2011-09-28;R$5.81;R$0.35;R$5.22;R$6.11;R$5.62;R$4.33
2011-09-29;R$5.87;R$0.34;R$5.30;R$6.13;R$5.60;R$4.33
2011-09-30;R$5.77;R$0.33;R$4.98;R$6.03;R$5.52;R$4.33
2011-10-03;R$5.62;R$0.32;R$4.70;R$5.81;R$5.55;R$4.21
2011-10-04;R$5.69;R$0.32;R$5.00;R$5.86;R$5.55;R$4.21
2011-10-05;R$5.70;R$0.32;R$5.02;R$5.75;R$5.52;R$4.21
2011-10-06;R$5.75;R$0.33;R$5.29;R$5.95;R$5.57;R$4.21
2011-10-07;R$5.61;R$0.32;R$5.22;R$5.78;R$5.55;R$4.21
2011-10-10;R$5.84;R$0.33;R$5.46;R$5.97;R$5.69;R$4.21
2011-10-11;R$5.90;R$0.33;R$5.63;R$6.05;R$5.51;R$4.21
2011-10-13;R$6.03;R$0.34;R$5.61;R$6.12;R$5.64;R$4.21
2011-10-14;R$6.02;R$0.34;R$5.76;R$6.20;R$5.65;R$4.21
2011-10-17;R$6.00;R$0.34;R$5.55;R$6.09;R$5.65;R$4.21
2011-10-18;R$6.00;R$0.34;R$5.55;R$6.09;R$5.63;R$4.21
2011-10-19;R$6.09;R$0.35;R$5.92;R$6.07;R$5.56;R$4.21
2011-10-20;R$6.09;R$0.35;R$5.82;R$5.94;R$5.57;R$4.21
2011-10-21;R$6.22;R$0.35;R$5.93;R$6.08;R$5.67;R$4.21
2011-10-24;R$6.37;R$0.35;R$6.08;R$6.08;R$5.67;R$4.21
2011-10-25;R$6.37;R$0.35;R$6.08;R$6.08;R$5.72;R$4.21
2011-10-26;R$6.37;R$0.35;R$6.08;R$6.08;R$5.66;R$4.21
2011-10-27;R$6.37;R$0.35;R$6.08;R$6.08;R$5.76;R$4.21
2011-10-28;R$6.56;R$0.36;R$6.51;R$6.61;R$5.78;R$4.21
2011-10-31;R$6.53;R$0.38;R$6.66;R$6.81;R$5.74;R$4.21
2011-11-01;R$6.41;R$0.36;R$6.09;R$6.67;R$5.73;R$4.21
2011-11-03;R$6.45;R$0.37;R$5.90;R$6.92;R$5.79;R$4.21
2011-11-04;R$6.44;R$0.37;R$5.97;R$6.98;R$5.74;R$4.21
2011-11-07;R$6.46;R$0.37;R$5.92;R$7.16;R$5.81;R$4.21
2011-11-08;R$6.51;R$0.37;R$5.97;R$7.08;R$5.81;R$4.21
2011-11-09;R$6.40;R$0.35;R$5.63;R$6.78;R$5.73;R$4.21
2011-11-10;R$6.40;R$0.36;R$5.63;R$6.78;R$5.73;R$4.21
2011-11-11;R$6.37;R$0.33;R$5.97;R$6.93;R$5.79;R$4.21
2011-11-14;R$6.46;R$0.32;R$5.76;R$6.98;R$5.74;R$4.21
2011-11-16;R$6.49;R$0.31;R$5.74;R$7.04;R$5.76;R$4.21
2011-11-17;R$6.26;R$0.31;R$5.46;R$6.86;R$5.69;R$4.21
2011-11-18;R$6.14;R$0.31;R$5.48;R$6.93;R$5.70;R$4.21
2011-11-21;R$6.03;R$0.30;R$5.37;R$6.95;R$5.76;R$4.21
2011-11-22;R$5.94;R$0.28;R$5.20;R$6.91;R$5.72;R$3.67
2011-11-23;R$5.85;R$0.28;R$5.22;R$6.87;R$5.71;R$3.67
2011-11-24;R$5.86;R$0.28;R$5.45;R$6.90;R$5.71;R$3.67
2011-11-25;R$5.84;R$0.28;R$5.48;R$6.69;R$5.77;R$3.67
2011-11-28;R$5.96;R$0.29;R$5.71;R$6.85;R$5.84;R$3.67
2011-11-29;R$5.91;R$0.29;R$5.94;R$6.82;R$5.77;R$3.67
2011-11-30;R$6.18;R$0.31;R$6.02;R$7.03;R$5.79;R$3.60
2011-12-01;R$6.39;R$0.33;R$6.36;R$7.18;R$5.87;R$3.60
2011-12-02;R$6.41;R$0.32;R$6.44;R$7.18;R$5.85;R$3.60
